19:57:26  enriching profiles for 50 of 50 delivered records
19:59:42    FENTON FAMILY OFFICE LIMITED             desc
20:00:13    Duquesne Family Office LLC               desc person-li
20:00:47    Stephens Group, LLC                      desc co-li
20:01:15    ALEXANDER FAMILY HOLDINGS LTD.           desc
20:04:00    BARRETT FAMILY HOLDINGS LIMITED          desc
20:04:06    MALHOTRA FAMILY HOLDINGS LIMITED         desc
20:04:30    NEWMAN HERITAGE LIMITED                  desc
20:05:00    SMITH FAMILY TRUST CORPORATION LIMITED   desc
20:05:10    Wentworth Hall Family Office             desc person-li
20:05:32    Emerson Collective                       desc co-li
20:06:02    Pinnacle Family Office Investments L.P   desc
20:06:41    PITON CAPITAL PARTNERS LLC               desc
20:07:13    KNOWLES FAMILY INVESTMENT COMPANY LIMI   desc
20:07:43    WHITEHEAD FAMILY HOLDINGS LIMITED        desc
20:07:51    FRANCIS FAMILY OFFICE LIMITED            desc
20:08:16    GATES FAMILY HOLDINGS LTD                desc
20:08:45    CROSS FAMILY GROUP HOLDINGS LIMITED      desc
20:08:56    KING FAMILY HOLDINGS LIMITED             desc
20:09:18    LINTON FAMILY (HOLDINGS) LTD             desc
20:09:55    LLOYD FAMILY HOLDINGS LTD                desc
20:10:28    TANDON FAMILY OFFICE LIMITED             desc
20:12:02    GERSHON FAMILY INVESTMENT GROUP LIMITE   desc
20:12:32    THE GOLDING FAMILY INVESTMENT COMPANY    desc
20:13:37    Bolt Ventures                            desc person-li
20:14:07    Access Industries                        desc co-li
20:14:29    KAAF Investments                         desc co-li person-li
20:14:41    Finkeissen Holdings                      desc person-li
20:15:03    Tamar Capital                            desc co-li person-li
20:15:11    Raintree Family Office                   desc co-li person-li
20:15:32    Bezos Expeditions                        desc
20:15:46    Thiel Capital                            desc co-li person-li
20:16:04    Blauwpark Partners                       desc co-li person-li
20:16:16    Golden Alpha                             desc person-li
20:16:37    Calibrium AG                             desc co-li
20:16:46    The Alduaij family office                desc
20:17:08    The Yeh Family Philanthropy              desc co-li
20:18:51    The Murakami Family Foundation           co-li
20:25:27    Jaws Estates Capital                     desc
20:28:00    Lightchain Capital                       person-li
20:30:36    PSP Partners                             person-li
20:31:09    Al Rajhi Ekhwan                          desc co-li
20:33:11    JRT Partners                             desc
20:33:13  finished: descriptions 39 | company pages 12 | principal profiles 12 | serper 97
